Time;Atm_pressure;Temperature;Humidity
2017-05-12 23:30;1007.47998047;12.55000019;94.37999725
2017-05-12 23:45;1007.54998779;12.55000019;94.59999847
2017-05-13 00:00;1007.61999512;12.60000038;94.56999969
2017-05-13 00:15;1007.7800293;12.57999992;94.52999878
2017-05-13 00:30;1007.84997559;12.55000019;94.90000153
2017-05-13 00:45;1007.7800293;12.55000019;94.90000153
2017-05-13 01:00;1007.61999512;12.5;94.94999695
2017-05-13 01:15;1007.61999512;12.47000027;94.94999695
2017-05-13 01:30;1007.47998047;12.47000027;95.26999664
2017-05-13 01:45;1007.54998779;12.55000019;95.25
2017-05-13 02:00;1007.61999512;12.55000019;95.34999847
2017-05-13 02:15;1007.54998779;12.47000027;95.34999847
2017-05-13 02:30;1007.61999512;12.43000031;95.44999695
2017-05-13 02:45;1007.7800293;12.55000019;95.25
2017-05-13 03:00;1007.7800293;12.55000019;95.05000305
2017-05-13 03:15;1007.7800293;12.47000027;95.52999878
2017-05-13 03:30;1007.7800293;12.47000027;95.90000153
2017-05-13 03:45;1008;12.43000031;95.84999847
2017-05-13 04:00;1008.15002441;12.5;95.91999817
2017-05-13 04:15;1008.15002441;12.5;96.48000336
2017-05-13 04:30;1008.29998779;12.68000031;96.09999847
2017-05-13 04:45;1008.45001221;12.77000046;95.68000031
2017-05-13 05:00;1008.45001221;12.77000046;95.83000183
2017-05-13 05:15;1008.36999512;12.68000031;96.80000305
2017-05-13 05:30;1008.59997559;12.69999981;96.69999695
2017-05-13 05:45;1008.66998291;12.47000027;98.18000031
2017-05-13 06:00;1008.90002441;12.43000031;98.59999847
2017-05-13 06:15;1009.04998779;12.36999989;98.91999817
2017-05-13 06:30;1009.04998779;12.22000027;99.48000336
2017-05-13 06:45;1009.20001221;12.30000019;99.48000336
2017-05-13 07:00;1009.20001221;12.39999962;99.19999695
2017-05-13 07:15;1009.2800293;12.57999992;99.84999847
2017-05-13 07:30;1009.5;12.43000031;99.48000336
2017-05-13 07:45;1009.72998047;12.47000027;99.94999695
2017-05-13 08:00;1009.86999512;12.5;99.66999817
2017-05-13 08:15;1009.79998779;12.5;99.56999969
2017-05-13 08:30;1010.17999268;12.69999981;99.27999878
2017-05-13 08:45;1010.17999268;12.68000031;98.51999664
2017-05-13 09:00;1010.47998047;12.75;98.05000305
2017-05-13 09:15;1010.61999512;12.77000046;97.06999969
2017-05-13 09:30;1010.70001221;12.85000038;96.25
2017-05-13 09:45;1010.92999268;12.75;95.09999847
2017-05-13 10:00;1011;12.97999954;95
2017-05-13 10:15;1011;13.32999992;93.80000305
2017-05-13 10:30;1011.15002441;13.27000046;92.47000122
2017-05-13 10:45;1011.22998047;13.47999954;91.80000305
2017-05-13 11:00;1011.45001221;13.42000008;91.44999695
2017-05-13 11:15;1011.52001953;13.61999989;90.87999725
2017-05-13 11:30;1011.45001221;13.75;88.94999695
2017-05-13 11:45;1011.52001953;14.14999962;88.16999817
2017-05-13 12:00;1011.52001953;14.5;85.75
2017-05-13 12:15;1011.90002441;14.35000038;84.87000275
2017-05-13 12:30;1012.04998779;14.02000046;86.93000031
2017-05-13 12:45;1012.04998779;14.19999981;87.06999969
2017-05-13 13:00;1012.11999512;14.39999962;85.62999725
2017-05-13 13:15;1012.11999512;14.22999954;86.33000183
2017-05-13 13:30;1012.34997559;13.55000019;89.01999664
2017-05-13 13:45;1012.42999268;13.52000046;89.22000122
2017-05-13 14:00;1012.5;13.64999962;88.44999695
2017-05-13 14:15;1012.72998047;13.67000008;88.62999725
2017-05-13 14:30;1012.72998047;13.80000019;88.51999664
2017-05-13 14:45;1012.95001221;13.94999981;86.69999695
2017-05-13 15:00;1013.02001953;14.19999981;86.87000275
2017-05-13 15:15;1013.17999268;14.25;86.30000305
2017-05-13 15:30;1013.32000732;14.22999954;87.59999847
2017-05-13 15:45;1013.32000732;14.22999954;87.27999878
2017-05-13 16:00;1013.54998779;14.10000038;88.44999695
2017-05-13 16:15;1013.63000488;14;89.08000183
2017-05-13 16:30;1013.77001953;14.25;88.5
2017-05-13 16:45;1013.84997559;14.25;88.43000031
2017-05-13 17:00;1013.84997559;14.5;87.77999878
2017-05-13 17:15;1013.84997559;14.35000038;88.93000031
2017-05-13 17:30;1013.92999268;14;90.15000153
2017-05-13 17:45;1014.07000732;13.67000008;91.44999695
2017-05-13 18:00;1014.29998779;13.75;90.94999695
2017-05-13 18:15;1014.45001221;13.55000019;91.93000031
2017-05-13 18:30;1014.59997559;13.35000038;91.97000122
2017-05-13 18:45;1014.90002441;12.68000031;95.09999847
2017-05-13 19:00;1014.9699707;12.22000027;95.90000153
2017-05-13 19:15;1015.27001953;12.19999981;95.47000122
2017-05-13 19:30;1015.20001221;12.27000046;96.52999878
2017-05-13 19:45;1015.5;11.93000031;96.5
2017-05-13 20:00;1015.5;11.52999973;96.87999725
2017-05-13 20:15;1015.5;11.39999962;97
2017-05-13 20:30;1015.65002441;11.30000019;98.02999878
2017-05-13 20:45;1015.65002441;11.69999981;96.90000153
2017-05-13 21:00;1015.88000488;11.43000031;97.91999817
2017-05-13 21:15;1015.88000488;11.44999981;97.30000305
2017-05-13 21:30;1016.02001953;11.44999981;97.65000153
2017-05-13 21:45;1016.09997559;11.64999962;97.56999969
2017-05-13 22:00;1016.33001709;11.85000038;97.34999847
2017-05-13 22:15;1016.4699707;11.93000031;96.72000122
2017-05-13 22:30;1016.4699707;11.93000031;96.72000122
2017-05-13 22:45;1016.70001221;11.69999981;98.34999847
2017-05-13 23:00;1016.70001221;12.07999992;98.15000153
2017-05-13 23:15;1016.70001221;12.07999992;97.44999695
2017-05-13 23:30;1016.92999268;12.22000027;97.15000153
2017-05-13 23:45;1016.63000488;12.11999989;96.80000305
2017-05-14 00:00;1016.4699707;11.44999981;98.02999878
2017-05-14 00:15;1016.70001221;11.60000038;97.26999664
2017-05-14 00:30;1016.77001953;11.35000038;96
2017-05-14 00:45;1016.92999268;11.06999969;97.15000153
2017-05-14 01:00;1017;10.75;96.56999969
2017-05-14 01:15;1017.2199707;10.35000038;97.06999969
2017-05-14 01:30;1017.38000488;9.88000011;98.02999878
2017-05-14 01:45;1017.52001953;9.42000008;98.02999878
2017-05-14 02:00;1017.83001709;8.75;98.30000305
2017-05-14 02:15;1018.04998779;8.72999954;99.40000153
2017-05-14 02:30;1018.04998779;8.92000008;98.91999817
2017-05-14 02:45;1018.13000488;9.14999962;99.06999969
2017-05-14 03:00;1018.20001221;9.25;98.5
2017-05-14 03:15;1018.34997559;9.19999981;98.69999695
2017-05-14 03:30;1018.5;9.30000019;98.12999725
2017-05-14 03:45;1018.7199707;9.19999981;97.68000031
2017-05-14 04:00;1018.79998779;9.63000011;97.26999664
2017-05-14 04:15;1018.95001221;9.52999973;96.48000336
2017-05-14 04:30;1019.02001953;10.77999973;95.41999817
2017-05-14 04:45;1019.16998291;10.64999962;94.65000153
2017-05-14 05:00;1019.25;10.75;94.68000031
2017-05-14 05:15;1019.33001709;11.55000019;95.09999847
2017-05-14 05:30;1019.33001709;12.5;94.52999878
2017-05-14 05:45;1019.4699707;13.44999981;89.77999878
2017-05-14 06:00;1019.63000488;12.85000038;93.15000153
2017-05-14 06:15;1019.84997559;12.77000046;92.40000153
2017-05-14 06:30;1020.08001709;13.57999992;89.01999664
2017-05-14 06:45;1020.15002441;14.47999954;87.19999695
2017-05-14 07:00;1020.2199707;15.47999954;79.15000153
2017-05-14 07:15;1020.38000488;15.92000008;74.25
2017-05-14 07:30;1020.38000488;16.39999962;72.94999695
2017-05-14 07:45;1020.45001221;16.54999924;69.59999847
2017-05-14 08:00;1020.5300293;16.43000031;70.91999817
2017-05-14 08:15;1020.66998291;17.06999969;65.94999695
2017-05-14 08:30;1020.90002441;17.43000031;64.72000122
2017-05-14 08:45;1020.90002441;16.96999931;64.23000336
2017-05-14 09:00;1020.90002441;17.5;69.44999695
2017-05-14 09:15;1020.90002441;17.64999962;64.30000305
2017-05-14 09:30;1021.04998779;17.54999924;62.58000183
2017-05-14 09:45;1021.04998779;17.68000031;62.27000046
2017-05-14 10:00;1021.04998779;18.04999924;59.31999969
2017-05-14 10:15;1021.2800293;18.10000038;57.31999969
2017-05-14 10:30;1021.2800293;18.43000031;53.59999847
2017-05-14 10:45;1021.34997559;19.22999954;58.40000153
2017-05-14 11:00;1021.20001221;18.82999992;53
2017-05-14 11:15;1021.20001221;19;52.13000107
2017-05-14 11:30;1021.20001221;19.10000038;48.20000076
2017-05-14 11:45;1021.34997559;19.42000008;48.45000076
2017-05-14 12:00;1021.20001221;19.5;47.79999924
2017-05-14 12:15;1021.2800293;19.5;46.43000031
2017-05-14 12:30;1021.04998779;19.39999962;44.15000153
2017-05-14 12:45;1021.04998779;20.17000008;41.84999847
2017-05-14 13:00;1021.20001221;19.79999924;44.81999969
2017-05-14 13:15;1020.9699707;20.64999962;39.06999969
2017-05-14 13:30;1020.9699707;20.67000008;37.65000153
2017-05-14 13:45;1020.90002441;20.17000008;37.97999954
2017-05-14 14:00;1020.75;20.27000046;40.59999847
2017-05-14 14:15;1020.90002441;20.25;41.27999878
2017-05-14 14:30;1020.66998291;20.57999992;39.45000076
2017-05-14 14:45;1020.66998291;20.72999954;41.09999847
2017-05-14 15:00;1020.66998291;20.29999924;38.88000107
2017-05-14 15:15;1020.5300293;20.29999924;40.38000107
2017-05-14 15:30;1020.5300293;20.39999962;38.65000153
2017-05-14 15:45;1020.66998291;20.39999962;42.61999893
2017-05-14 16:00;1020.75;20.35000038;40.22000122
2017-05-14 16:15;1020.75;20.57999992;37.63000107
2017-05-14 16:30;1020.90002441;20.29999924;42.86999893
2017-05-14 16:45;1020.90002441;19.97999954;46.20000076
2017-05-14 17:00;1021.04998779;19.60000038;49.75
2017-05-14 17:15;1021.20001221;18.85000038;52.02999878
2017-05-14 17:30;1021.04998779;17.85000038;53.54999924
2017-05-14 17:45;1021.20001221;16.79999924;58.45000076
2017-05-14 18:00;1021.2800293;16.62999916;56.75
2017-05-14 18:15;1021.34997559;16.53000069;55.65000153
2017-05-14 18:30;1021.65002441;15.81999969;66.93000031
2017-05-14 18:45;1021.88000488;14.25;75.44999695
2017-05-14 19:00;1021.95001221;13.05000019;77.27999878
2017-05-14 19:15;1022.09997559;13.05000019;75.94999695
2017-05-14 19:30;1021.95001221;12.57999992;83.18000031
2017-05-14 19:45;1022.09997559;11.82999992;80.62000275
2017-05-14 20:00;1022.25;11.35000038;84.22000122
2017-05-14 20:15;1022.4699707;11.25;85.65000153
2017-05-14 20:30;1022.70001221;10.19999981;90.08000183
2017-05-14 20:45;1022.61999512;10.38000011;91.25
2017-05-14 21:00;1022.7800293;10.18000031;92.08000183
2017-05-14 21:15;1022.7800293;9.5;93.69999695
2017-05-14 21:30;1022.7800293;9.60000038;93.62000275
2017-05-14 21:45;1022.91998291;9.47000027;91.30000305
