Time_t;theoretical;Time_o;observed
2017-05-31 20:45;2.65043656472785;2017-05-25 04:55;2.093876
2017-05-31 21:00;2.66320671204466;2017-05-25 05:05;1.674874
2017-05-31 21:15;2.40128118999422;2017-05-25 05:15;1.694905
2017-05-31 21:30;2.65105591697433;2017-05-25 05:25;1.470277
2017-05-31 21:45;2.77976272279977;2017-05-25 05:35;1.743994
;;2017-05-25 05:45;1.519548
;;2017-05-25 05:55;1.578279
;;2017-05-25 06:05;1.611442
;;2017-05-25 06:15;1.979519
;;2017-05-25 06:25;1.944145
;;2017-05-25 06:35;1.829702
;;2017-05-25 06:45;1.387954
;;2017-05-25 06:54;1.932305
;;2017-05-25 07:04;1.580784
;;2017-05-25 07:14;1.664268
;;2017-05-25 07:24;1.89543
;;2017-05-25 07:34;1.462475
;;2017-05-25 07:44;1.720797
;;2017-05-25 07:54;1.616748
;;2017-05-25 08:04;1.834684
;;2017-05-25 08:14;1.815175
;;2017-05-25 08:24;1.756291
;;2017-05-25 08:34;1.916341
;;2017-05-25 08:44;1.677557
;;2017-05-25 08:53;1.577143
;;2017-05-25 09:03;1.543393
;;2017-05-25 09:13;1.786276
;;2017-05-25 09:23;1.742291
;;2017-05-25 09:33;1.663591
;;2017-05-25 09:43;1.772635
;;2017-05-25 09:53;1.431609
;;2017-05-25 10:03;1.605851
;;2017-05-25 10:13;1.497884
;;2017-05-25 10:23;1.981109
;;2017-05-25 10:33;1.660448
;;2017-05-25 10:43;1.519166
;;2017-05-25 10:53;1.489532
;;2017-05-25 11:03;1.613087
;;2017-05-25 11:13;1.549832
;;2017-05-25 11:23;1.49893
;;2017-05-25 11:33;1.568726
;;2017-05-25 11:43;1.700007
;;2017-05-25 11:53;1.558953
;;2017-05-25 12:03;1.647772
;;2017-05-25 12:13;1.58587
;;2017-05-25 12:23;1.399562
;;2017-05-25 12:33;1.470205
;;2017-05-25 12:43;1.637873
;;2017-05-25 12:53;1.30166
;;2017-05-25 13:03;1.10394
;;2017-05-25 13:13;1.189944
;;2017-05-25 13:23;1.220642
;;2017-05-25 13:33;0.862805
;;2017-05-25 13:43;1.323017
;;2017-05-25 13:53;1.454236
;;2017-05-25 14:03;1.421006
;;2017-05-25 14:12;1.489673
;;2017-05-25 14:22;0.955217
;;2017-05-25 14:32;1.319148
;;2017-05-25 14:42;1.37143
;;2017-05-25 14:52;1.194534
;;2017-05-25 15:02;1.602585
;;2017-05-25 15:12;1.562951
;;2017-05-25 15:22;2.349253
;;2017-05-25 15:32;2.279255
;;2017-05-25 15:42;2.558596
;;2017-05-25 15:52;2.229791
;;2017-05-25 16:02;2.128271
;;2017-05-25 16:12;2.024832
;;2017-05-25 16:21;2.187251
;;2017-05-25 16:31;1.890179
;;2017-05-25 16:41;1.765864
;;2017-05-25 16:51;1.5964
;;2017-05-25 17:01;1.68216
;;2017-05-25 17:11;1.79075
;;2017-05-25 17:21;1.613302
;;2017-05-25 17:32;1.245234
;;2017-05-25 17:42;0.629807
;;2017-05-25 17:52;0.557557
;;2017-05-25 18:02;0.189634
;;2017-05-25 18:12;0.544497
;;2017-05-25 18:22;0.535083
;;2017-05-25 18:32;0.232648
;;2017-05-25 18:42;0.134396
;;2017-05-25 18:52;0.287785
;;2017-05-25 19:02;0.396131
;;2017-05-25 19:11;0.253085
;;2017-05-25 19:21;0.262139
;;2017-05-25 19:31;0.128629
;;2017-05-25 19:41;0.281466
;;2017-05-25 19:51;0.806095
;;2017-05-25 20:01;0.596202
;;2017-05-25 20:11;0.544984
;;2017-05-25 20:21;0.884066
;;2017-05-25 20:31;1.246269
;;2017-05-25 20:41;1.364911
;;2017-05-25 20:51;1.275056
;;2017-05-25 21:01;1.211085
;;2017-05-25 21:11;1.166246
;;2017-05-25 21:21;1.078058
;;2017-05-25 21:31;1.107757
;;2017-05-25 21:40;1.197591
;;2017-05-25 21:50;1.200751
;;2017-05-25 22:00;1.244944
;;2017-05-25 22:10;1.245803
;;2017-05-25 22:20;1.248498
;;2017-05-25 22:30;1.282148
;;2017-05-25 22:40;1.236971
;;2017-05-25 22:50;1.288192
;;2017-05-25 23:00;1.264073
;;2017-05-25 23:10;1.224189
;;2017-05-25 23:20;1.196001
;;2017-05-25 23:30;1.218705
;;2017-05-25 23:40;1.185264
;;2017-05-25 23:50;1.09886
;;2017-05-26 00:00;1.117947
;;2017-05-26 00:09;1.219263
;;2017-05-26 00:19;1.128169
;;2017-05-26 00:29;1.129678
;;2017-05-26 00:39;1.158018
;;2017-05-26 00:49;1.130547
;;2017-05-26 00:59;1.123099
;;2017-05-26 01:09;1.151315
;;2017-05-26 01:19;1.150122
;;2017-05-26 01:29;1.123168
;;2017-05-26 01:39;1.137015
;;2017-05-26 01:49;1.198509
;;2017-05-26 01:59;1.33333
;;2017-05-26 02:09;1.271417
;;2017-05-26 02:19;1.349199
;;2017-05-26 02:29;1.407457
;;2017-05-26 02:38;1.367654
;;2017-05-26 02:48;1.35825
;;2017-05-26 02:58;1.269121
;;2017-05-26 03:08;1.308552
;;2017-05-26 03:18;1.338702
;;2017-05-26 03:28;1.428089
;;2017-05-26 03:38;1.535923
;;2017-05-26 03:48;1.561228
;;2017-05-26 03:58;1.622447
;;2017-05-26 04:08;1.634297
;;2017-05-26 04:18;1.593813
;;2017-05-26 04:28;1.643923
;;2017-05-26 04:38;1.60074
;;2017-05-26 04:48;1.570656
